id,name,count,isEquip,equipType,value,description,star
16,실버소드,1,TRUE,Sword,30,퇴마에 사용되는 실버 소드. 모두가 알다시피 원재료는 순은이 아니라 은 합금이다,2
17,칠흑검,1,TRUE,Sword,50,분쟁과 살상을 갈망하는 칠흑 장검. 사람을 피비린내 나는 전투에 극도로 미치도록 만든다고 한다,4
18,매의 검,1,TRUE,Sword,60,"페보니우스 기사단의 영혼은 천 년이 지난 지금도, 마치 예전에 이 검을 휘두르던?여걸처럼 정의의 바람으로 간악한 자들을 물리쳐주길 바라고 있다",5
19,안개를 가르는 회광,1,TRUE,Sword,70,"차가운 자색으로 반짝이는 태도, 이름에 「회광」이 들어간 것은 한때 산산이 부서져버렸던 과거 때문이다",5
20,하란 월백의 후츠,1,TRUE,Sword,80,후츠가 명을 받들어 단조한 걸작. 파도처럼 밀려드는 기세를 보고 「하란(波?)」이라는 이름을 얻었다,5
21,고요히 샘솟는 빛,1,TRUE,Sword,100,가장 순수한 물이 맴도는 지팡이. 먼 옛날에 해저 평원 위의 가장 높은 권위를 상징했다,5
101,모험가의 꽃,1,TRUE,Flower,10,깊은 고대 도시에서 얻은 절체절명의 위기에서 핀 꽃. 자랑스러운 훈장으로 가슴에 달아졌다,3
102,모험가의 꽁지 깃털,1,TRUE,Feather,10,"이국의 기묘한 조류의 깃털, 이 대륙에선 매우 희귀하다",3
103,모험가의 회중시계,1,TRUE,SandTime,5,늘 하늘이 보이지 않는 거대한 심연과 고대 도시에서 시간을 보내는 모험가는 시간을 자주 잊는다,3
104,모험가의 황금잔,1,TRUE,Trophy,4,모험가가 어떤 모험에서 얻은 황금잔. 비록 흠이 있더라도 여전히 자랑스러운 전리품이다,3
105,모험가의 머리띠,1,TRUE,Crown,6,이마에 묶인 장식 띠는 땀과 먼지 범벅이다. 약간 더럽기도 하지만 탐험가의 자랑이기도 하다,3
106,눈보라를 견딘 그리움,1,TRUE,Flower,40,오래전에 멸종된 얼음꽃. 서리가 방울방울 맺혀있다. 고고한 용사도 이 꽃을 얻기 위해 허리를 굽힌 적이 있다,4
107,얼음을 깨며 나아가는 집념,1,TRUE,Feather,35,차가운 기운을 발산하는 깃털. 맹금의 설원과 얼어붙은 산봉우리 위에서의 날갯짓이 몰고 온 바람을 느낄 수 있을 것만 같다,4
108,눈 덮인 고향의 최후,1,TRUE,SandTime,37,용사의 귀환을 기다리는 고향 사람들이 쓰던 시계. 안에는 모래가 아니라 녹지 않는 미세한 얼음 결정이 들어있다,4
109,서리를 감싼 기골,1,TRUE,Trophy,38,얼음으로 조각한 술잔. 겨울같이 단단하고 예리하다. 과거 이 잔의 주인은 이를 사용해 홀짝이며 얼지 않는 술을 마셨다,4
110,빙설을 밟는 소리,1,TRUE,Crown,39,얼음과 눈을 정복하길 꿈꿨던 고대 영웅의 관면. 소유자가 매서운 추위에 맞서 싸웠다는 용기의 증표이다,4
111,황금 음악의 변주,1,TRUE,Flower,50,대왕 조개와 패모 그리고 금박으로 정교하게 만들어진 꽃. 자랑스러운 듯이 활짝 피어있다,5
112,황금 새의 깃털,1,TRUE,Feather,45,황금과 은으로 만든 깃털. 그 위에 맑은 푸른빛의 보석이 하나 박혀있다,5
113,황금 시대의 서곡,1,TRUE,SandTime,47,황금과 은으로 장식된 해시계. 하지만 시계 위의 시간은 진작에 멈춘 것 같다,5
114,황금 밤의 소란,1,TRUE,Trophy,48,"고대의 은 항아리. 한때 붉은 보석과도 같은 술이 가득했지만, 지금은 쓴 바닷물만 담겨있다",5
115,황금 극단의 보상,1,TRUE,Crown,49,고대 왕관. 군주의 왕관보다는 무대 소품에 더 가까워 보인다,5
1001,부서진 가면,1,FALSE,Flower,0,부서진 골질 마스크. 예전부터 츄츄족이 써오던 마스크. 부서진 곳이 멀쩡한 곳보다 많아 가면의 기능을 거의 상실했다,1
1002,오염된 가면,1,FALSE,Flower,0,알아볼 수도 없는 얼룩들이 가득하고 이상한 냄새를 풍기는 골질 마스크. 그런데도 착용하다니 츄츄족의 집착은 대단하다,2
1003,불길한 가면,1,FALSE,Flower,0,빛나는 골질 마스크. 적을 위협하는 유화가 그려져있다. 츄츄족이 가면에 집착하는 이유를 아는 사람은 아직도 없다. 수면에 비친 자신의 모습이 싫어서라는 견해도 있다,3
1004,견고한 화살촉,1,FALSE,Flower,0,조잡하게 만들어진 화살촉이지만 얕봐선 안 된다. 석궁은 위험한 무기다. 제아무리 기사라도 뒤에서 날아오는 화살은 피하기 어려울 것이다,1
1005,날카로운 화살촉,1,FALSE,Flower,0,"정교하게 만들어진 화살촉. 화살의 날카로운 끝부분은 적의 갑옷을 쉽게 뚫을 수 있을 것 같지만, 사냥감의 몸에는 들어가지 않는다",2
1006,역전의 화살촉,1,FALSE,Flower,0,핏자국이 말라붙은 오래된 화살촉. 오래 사용하는 바람에 촉이 무뎌져 무기로써 수명을 다했다. 하지만 이 또한 사냥꾼의 자랑거리. 그들의 호신부이자 메달이다,3
1007,북풍의 꼬리,1,FALSE,Flower,0,북풍의 위대한 왕랑의 몸에서 얻은 약간의 꼬리 비늘. 생명과 형체를 잃은 왕랑은 여전히 평범함을 뛰어넘는 위대한 힘을 갖고 있다. 도전을 받아들이기 위해 얼음과 바람을 이용해 형체를 만들었지만 왕랑의 전부를 담아내지 못해 몇몇 영혼이 전투 중 떨어져 나온 얼음 비늘에 붙어있다,5
1008,북풍의 고리,1,FALSE,Flower,0,북풍의 위대한 왕랑의 몸에서 얻은 약간의 얼음. 예전에는 북풍이 울부짖고 서리를 내쉬었던 대지였다. 우박과 눈이 살을 찢고 피를 얼릴 듯이 매섭게 내린다. 현재 왕랑의 힘은 예전 같지 않지만 여전히 대지를 얼려버릴 수 있을 만큼 강력하다,5
1009,북풍의 영혼상자,1,FALSE,Flower,0,"북풍의 위대한 왕랑의 영혼에서 얻은 약간의 힘. 일찍이 북풍이 울부짖고 서리가 내렸던 지역이다. 하지만 왕랑은 매서운 북풍이 생명을 꺼뜨리기만 한다는 걸 깨달았고, 생명의 끝자락에서 대지와 대지의 생명을 영원히 지키기 위해 자신의 힘을 대지에 남겼다",5
